Tiempo (mseg)	Length  Destinos
20518544	116	61144253211
20518574	58	61144253211
20518789	232	61144253211
20518945	174	61144253211
20519355	174	61144253211
20519628	63	202105117161
20519931	63	202105117161
20520078	133	2181722849
20520078	131	61144209107
20520087	133	61144209107
20520087	133	2181721757
20520087	133	2181721757
20520087	135	1231121779
20520087	135	202105117161
20520087	132	1219231214
20520087	154	2181722849
20520087	130	1301929144
20520087	130	193205213188
20520087	130	22260122196
20520097	128	12593230132
20520097	130	125220135238
20520097	152	202105117161
20520097	130	61144253211
20520097	115	61144253211
20520097	82	61144253211
20521445	63	202105117161
20522636	127	12593230132
20523417	62	2181721757
20523417	62	2181721757
20523505	126	202105117161
20524511	57	22260122196
20524843	63	202105117161
20524853	127	12593230132
20525087	57	1301929144
20525283	57	193205213188
20525312	62	1219231214
20525488	57	202105117161
20525537	63	202105117161
20525634	189	202105117161
20525839	126	202105117161
20526728	126	202105117161
20526855	126	202105117161
20527431	63	202105117161
20527529	63	202105117161
20527636	63	202105117161
20527832	189	202105117161
20528037	126	202105117161
20528349	189	202105117161
20530039	83	61144209107
20530039	85	2181721757
20530039	85	2181721757
20530039	84	1219231214
20530039	82	193205213188
20534101	62	1219231214
20535117	57	193205213188
20535585	62	1219231214
20540029	84	1219231214
20541054	57	61144253211
20541728	63	202105117161
20544062	62	2181721757
20544062	62	2181721757
20544658	63	202105117161
20547451	60	61144209107
20550058	83	61144209107
20550058	85	2181721757
20550058	85	2181721757
20554384	128	12593230132
20554648	63	202105117161
20554697	60	2181722849
20554697	62	2181722849
20555449	128	12593230132
20555625	189	202105117161
20555625	62	1219231214
20555830	189	202105117161
20555947	63	202105117161
20556542	63	202105117161
20563105	127	12593230132
20563730	62	2181721757
20565546	62	2181722849
20566865	62	1231121779
20567480	57	125220135238
20570068	133	2181722849
20570068	131	61144209107
20570068	133	61144209107
20570068	133	2181721757
20570068	155	2181721757
20570068	135	1231121779
20570068	135	202105117161
20570068	132	1219231214
20570068	132	2181722849
20570068	130	1301929144
20570078	130	193205213188
20570078	130	22260122196
20570078	128	12593230132
20570078	130	125220135238
20570078	130	202105117161
20570078	130	61144253211
20572949	127	12593230132
20573349	57	22260122196
20573593	62	2181721757
20573593	62	2181721757
20573720	62	2181721757
20574042	128	12593230132
20575429	57	1301929144
20575576	57	202105117161
20575576	62	202105117161
20575634	57	193205213188
20575751	58	202105117161
20575927	116	202105117161
20576132	174	202105117161
20576416	116	202105117161
20576533	58	202105117161
20576865	116	202105117161
20577128	174	202105117161
20577226	58	202105117161
20578417	58	202105117161
20579414	58	202105117161
20579794	116	202105117161
20579833	58	202105117161
20580048	58	202105117161
20580058	232	21115522414
20580058	85	2181721757
20580273	174	202105117161
20580292	58	202105117161
20580595	58	202105117161
20580996	174	202105117161
20581689	173	202105117161
20584414	62	2181721757
20586064	110	21115522414
20590039	85	2181721757
20591542	131	61144209107
20591542	133	61144209107
20591542	130	125220135238
20592646	57	61144253211
20593730	62	61144209107
20596748	63	202105117161
20597548	58	202105117161
20597636	58	202105117161
20597646	60	61144209107
20600039	259	6119113662
20600830	58	202105117161
20603271	62	2181721757
20603867	60	2181722849
20603867	62	2181722849
20604072	62	1219231214
20604658	128	12593230132
20605751	128	12593230132
20605957	60	61144209107
20610068	85	2181721757
20610068	84	1219231214
20613408	127	12593230132
20613925	62	2181721757
20615478	62	1219231214
20616503	62	1231121779
20617792	57	125220135238
20620078	133	2181722849
20620078	153	61144209107
20620078	133	61144209107
20620078	133	2181721757
20620078	133	2181721757
20620078	157	1231121779
20620078	135	202105117161
20620078	154	1219231214
20620078	132	2181722849
20620087	130	1301929144
20620087	130	193205213188
20620087	130	22260122196
20620087	128	12593230132
20620087	130	125220135238
20620087	130	202105117161
20620087	152	61144253211
20620087	259	2212200154
20623261	127	12593230132
20623408	62	2181721757
20623408	62	2181721757
20623750	62	2181721757
20624365	128	12593230132
20625107	57	193205213188
20625664	57	1301929144
20625830	57	202105117161
20628037	57	22260122196
20630058	85	2181721757
20630058	85	2181721757
20630058	82	1301929144
20630068	259	1219231214
20630781	63	1231121779
20631103	126	1231121779
20631269	63	1231121779
20631562	63	1231121779
20631689	63	1231121779
20632001	126	1231121779
20632695	63	1231121779
20632949	63	1231121779
20633105	63	1231121779
20633359	126	1231121779
20633535	63	1231121779
20633671	62	1219231214
20633691	63	1231121779
20633808	58	61144253211
20633896	232	61144253211
20633935	63	1231121779
20634072	63	1231121779
20634199	174	61144253211
20634375	58	61144253211
20634472	126	1231121779
20634521	232	61144253211
20634609	63	1231121779
20634736	63	1231121779
20634882	240	61144253211
20634980	63	1231121779
20635000	248	61144253211
20635234	126	1231121779
20635283	186	61144253211
20635390	55	1219231214
20635449	63	1231121779
20635507	62	61144253211
20635595	248	61144253211
20635644	63	1231121779
20635791	63	1231121779
20635947	63	1231121779
20636123	63	1231121779
20636279	63	1231121779
20636376	62	1219231214
20636376	186	61144253211
20636611	126	1231121779
20636894	63	1231121779
20637041	63	1231121779
20637197	63	1231121779
20637382	63	1231121779
20637744	126	1231121779
20637949	57	1301929144
20637978	63	1231121779
20638105	62	61144253211
20638105	62	61144209107
20638134	63	1231121779
20638388	310	61144253211
20638417	62	61144253211
20638564	60	61144209107
20638564	124	61144253211
20638769	126	1231121779
20638789	62	61144253211
20638886	63	1231121779
20639062	63	1231121779
20639101	248	61144253211
20639248	124	61144253211
20639306	63	1231121779
20639345	186	61144253211
20639482	63	1231121779
20639628	63	1231121779
20639960	126	1231121779
20640039	83	61144209107
20640048	85	61144209107
20640048	84	1219231214
20640048	84	61144253211
20640156	125	1231121779
20640673	61	61144253211
20640751	130	202105117161
20640751	259	6119113662
20643613	62	2181721757
20643613	62	2181721757
20646005	57	202105117161
20650048	85	2181721757
20650048	87	1231121779
20654248	60	2181722849
20654267	62	2181722849
20654970	128	12593230132
20654970	128	12593230132
20660029	84	2181722849
20660029	259	2212200154
20662626	127	12593230132
20664843	63	202105117161
20665371	62	1219231214
20665673	58	202105117161
20665751	174	202105117161
20665908	232	202105117161
20666757	62	1231121779
20666777	57	125220135238
20670068	130	61144209107
20670068	132	61144209107
20670068	132	2181721757
20670068	154	2181721757
20670068	134	1231121779
20670068	134	202105117161
20670068	153	1219231214
20670068	131	2181722849
20670068	129	1301929144
20670068	129	193205213188
20670068	127	12593230132
20670078	129	202105117161
20670078	131	61144253211
20672470	128	12593230132
20673466	62	2181721757
20673466	62	2181721757
20673564	62	2181721757
20673564	128	12593230132
20674667	128	12593230132
20674863	62	202105117161
20675166	57	193205213188
20675703	57	202105117161
20675703	62	202105117161
20675703	87	202105117161
20675986	57	1301929144
20680039	85	2181721757
20680039	87	202105117161
20683964	62	1219231214
20684287	62	2181721757
20685273	62	1219231214
20686689	62	61144209107
20690048	85	2181721757
20690048	84	1219231214
20690048	129	202105117161
20690048	259	12593230132
20690917	61	61144253211
20694121	62	2181721757
20696533	60	61144209107
20697626	259	6119113662
20700039	92	21115522414
20700039	85	2181721757
20703652	62	2181721757
20704482	62	2181722849
20705283	54	21115522414
20705761	63	202105117161
20705917	441	202105117161
20706376	62	1219231214
20709570	63	202105117161
20709873	63	202105117161
20710048	189	202105117161
20710048	84	1219231214
20710048	259	6592203150
20710058	259	61175236190
20710058	259	61175236190
20710751	189	202105117161
20713388	63	202105117161
20713476	62	2181721757
20713740	63	202105117161
20714619	62	202105117161
20714736	63	202105117161
20717324	62	1231121779
20717324	259	2212200154
20717792	60	61144209107
20718417	129	202105117161
20720058	153	61144209107
20720058	133	61144209107
20720058	133	2181721757
20720058	133	2181721757
20720058	135	1231121779
20720058	135	202105117161
20720058	132	1219231214
20720058	132	2181722849
20720058	130	1301929144
20720058	130	193205213188
20720058	130	202105117161
20720058	132	61144253211
20720058	259	17216888
20720058	259	192168048
20723427	62	2181721757
20723427	62	2181721757
20724052	116	202105117161
20724228	116	202105117161
20725302	62	2181722849
20725332	57	1301929144
20725498	57	193205213188
20730058	85	2181721757
20730058	85	2181721757
20730058	84	1219231214
20730058	259	1942916947
20730058	259	1942916949
20730058	259	1942916945
20730058	259	8222492189
20730068	259	1942916950
20733232	62	1219231214
20734980	126	202105117161
20735917	63	202105117161
20736152	62	61144209107
20737949	60	61144209107
20740068	82	193205213188
20740068	259	202196168113
20740068	259	137194214152
20740068	259	17216145113
20740068	259	137194214154
20740068	259	61144253211
20740068	259	192168441
20741308	61	61144253211
20745136	57	193205213188
20745771	55	61144253211
20745771	111	61144253211
20750048	259	6592203150
20750048	259	61175236190
20750048	259	61175236190
20750058	259	871066731
20750058	259	202115153145
20750058	259	192168881
20750058	259	1942916948
20750068	259	22216654223
20750068	259	15157618
20750224	83	61144253211
20750996	55	61144253211
20750996	55	871066731
20754267	62	2181721757
20754873	62	2181722849
20756132	72	61144253211
20756689	55	61144253211
20758876	84	1219231214
20760029	85	2181721757
20760029	84	2181722849
20760029	259	17216888
20760029	259	192168048
20761064	55	61144253211
20761972	61	61144253211
20764062	62	2181721757
20766533	62	1219231214
20767636	62	1231121779
20770068	153	61144209107
20770068	133	61144209107
20770068	133	2181721757
20770078	133	2181721757
20770078	135	1231121779
20770078	135	202105117161
20770078	154	1219231214
20770078	132	2181722849
20770078	130	1301929144
20770078	130	193205213188
20770087	130	202105117161
20770087	132	61144253211
20770087	129	61144253211
20770917	259	1942916947
20770917	259	1942916949
20770917	259	1942916945
20770917	259	8222492189
20770917	259	1942916950
20773486	62	2181721757
20773486	62	2181721757
