Tiempo (mseg)	Length 	Destinos
20068369	28	22121477134
20068671	28	601318386
20068759	28	60223249107
20068916	28	22121477134
20068945	28	22121477134
20068974	28	22121477134
20069091	28	22121477134
20069189	28	22121477134
20069218	28	22121477134
20069248	28	22121477134
20069589	28	1942916944
20070097	28	12313156133
20070195	42	2211055233
20070195	28	22121477134
20070224	28	22121477134
20070253	28	22121477134
20070253	28	193205213188
20070302	28	22121477134
20070351	28	22121477134
20070371	48	60223249107
20070449	28	60223249107
20070468	28	60223249107
20070488	28	22121477134
20070488	28	5977255216
20070576	28	22121477134
20070605	28	22121477134
20070781	28	1526624877
20070888	46	60223249107
20071015	28	22121477134
20071083	28	1221401832
20071357	28	22121477134
20071416	28	22213818229
20071503	28	2223940182
20071611	76	22213818229
20071914	28	2221380226
20072207	28	12490251140
20072431	28	12312254215
20072548	28	6113883144
20072548	28	60223249107
20072578	28	60223249107
20072666	28	60223249107
20072695	28	60223249107
20072734	28	60223249107
20072773	28	60223249107
20072832	28	60223249107
20072851	28	60223249107
20072910	28	8412304
20073046	28	9821624192
20073505	28	60223249107
20073740	28	22213818229
20073808	28	22121477134
20073837	28	22121477134
20073837	28	2223940182
20073857	28	22121477134
20073935	28	8223122266
20073974	28	22121477134
20074013	28	22121477134
20074042	28	2211055233
20074423	28	6022222969
20074423	42	601318386
20074423	42	1221401832
20074619	28	22121477134
20074619	28	8412304
20074765	28	22121477134
20074941	28	601318386
20075048	76	81182191212
20075048	52	1942916948
20075048	20	2221380226
20075224	28	193205213188
20075263	28	601318386
20075263	28	60223249107
20075283	28	22121477134
20075283	42	12313156133
20075283	42	22275165170
20075283	42	2223940182
20075283	42	22213818229
20075283	42	2211055233
20075283	42	58213116132
20075322	28	60223249107
20075341	28	22121477134
20075371	28	22121477134
20075400	28	22121477134
20075400	28	60223249107
20075458	28	22121477134
20075566	28	22121477134
20075595	28	22121477134
20075634	28	1942916948
20075634	28	22121477134
20075634	74	1942916948
20075976	28	12490251140
20076113	28	22213818229
20076494	68	1942916948
20076494	42	1942916948
20076582	28	22121477134
20076689	48	22121477134
20076728	28	22121477134
20076767	28	22121477134
20076826	28	22121477134
20076875	28	22121477134
20076992	28	22121477134
20077060	28	22121477134
20077128	28	22121477134
20077167	28	1526624877
20077226	28	22123824103
20077392	28	60223249107
20077431	28	22121477134
20077431	42	1942916946
20077431	42	12313156133
20077431	42	22275165170
20077431	42	2223940182
20077431	42	22213818229
20077431	42	2211055233
20077431	42	58213116132
20077470	48	22121477134
20077470	28	601318386
20077470	28	60223249107
20077519	28	22213818229
20077519	28	60223249107
20077548	28	60223249107
20077578	28	60223249107
20077597	28	60223249107
20077597	42	12312254215
20077597	42	1942916944
20077597	42	5977255216
20077597	42	1942916946
20077597	42	12313156133
20077597	42	22275165170
20077597	42	2223940182
20077597	42	22213818229
20077597	42	123188228233
20077597	42	2211055233
20077597	42	58213116132
20077597	42	1942916948
20077636	28	60223249107
20077666	28	60223249107
20077695	28	60223249107
20077773	28	6113883144
20077802	28	22121477134
20077832	28	22121477134
20077851	28	22121477134
20077998	28	8223122266
20078349	28	60223249107
20078476	28	9821624192
20078505	28	1942916946
20078554	28	6021619742
20078554	28	22213818229
20078613	28	2211055233
20078632	28	2211055233
20078750	46	22121477134
20078945	28	60223249107
20079550	42	12313156133
20079580	28	12312254215
20079687	42	12313156133
20080117	42	12313156133
20080117	28	60223249107
20080224	28	22121477134
20080253	28	22121477134
20080312	246	22275165170
20080312	28	1221401832
20080341	28	22121477134
20080458	28	22121477134
20080488	28	22213818229
20080839	28	193205213188
20080957	28	8412304
20080957	28	1942916944
20081054	28	22121477134
20081074	28	1526624877
20081171	28	22121477134
20081279	80	1239106142
20081386	42	2211055233
20081777	28	22121477134
20081777	80	1942916943
20081953	28	193205213189
20082167	28	22121477134
20082197	28	22121477134
20082363	28	22121477134
20082363	28	1942916943
20082363	40	1942916943
20082363	42	1942916943
20082363	314	1942916943
20082412	28	22121477134
20082412	42	5977255216
20082412	42	12313156133
20082412	42	22275165170
20082412	42	2223940182
20082412	42	22213818229
20082412	42	2211055233
20082412	42	58213116132
20082431	28	22121477134
20082597	76	60223249107
20082861	28	60223249107
20082978	28	1942916943
20083085	42	2211055233
20083154	28	22121477134
20083183	28	22121477134
20083183	28	6022222969
20083271	28	22121477134
20083300	28	22121477134
20083300	88	22123824103
20083339	28	22121477134
20083359	28	22121477134
20083466	42	12312254215
20083466	42	1526624877
20083466	42	5977255216
20083466	42	1942916946
20083466	42	12313156133
20083466	42	22275165170
20083466	42	1221401832
20083466	42	2223940182
20083466	42	193205213189
20083466	42	22213818229
20083466	42	123188228233
20083466	42	2211055233
20083466	42	22123824103
20083466	42	58213116132
20083466	42	12490251140
20083466	42	1942916948
20083466	46	22121477134
20083613	28	60223249107
20083632	48	60223249107
20083710	68	2211055233
20083798	48	60223249107
20084072	28	8412304
20084228	28	22121477134
20084296	28	123188228233
20084404	60	1239106142
20084404	212	58213116132
20084599	42	8223122266
20084707	28	12313156133
20084941	28	60223249107
20084960	28	60223249107
20085273	28	22121477134
20085302	28	22121477134
20085605	28	8223122266
20085703	28	22121477134
20085722	28	22121477134
20085751	28	22121477134
20085976	28	22123824103
20086250	28	22121477134
20086250	28	601318386
20086601	46	22121477134
20086679	28	22121477134
20086699	28	22121477134
20086845	28	12312254215
20086904	28	22121477134
20086933	48	22121477134
20087050	28	9821624192
20087519	28	22121477134
20087656	28	22121477134
20087675	28	6021619742
20087802	42	2211055233
20087802	28	1942916948
20088232	42	1169236154
20088242	28	22121477134
20088417	28	1526624877
20088496	28	1526624877
20088662	48	22121477134
20088662	28	1942916944
20088701	28	1221401832
20088701	28	22121477134
20088916	28	2223940182
20088916	1320	2223940182
20088916	1320	2223940182
20089023	46	601318386
20089023	1320	2223940182
20089033	28	60223249107
20089033	1320	2223940182
20089082	28	60223249107
20089082	1320	2223940182
20089101	28	60223249107
20089101	1320	2223940182
20089140	28	193205213189
20089150	1320	2223940182
20089199	28	60223249107
20089199	1320	2223940182
20089218	28	60223249107
